Cruise,Station,Type,yyyy-mm-ddThh:mm,Latitude [degrees_north],Longitude [degrees_east],Bot. Depth [m],Secchi Depth [m]:METAVAR:FLOAT,PRES [db],TEMP [deg C],PSAL [psu],DOXY [ml/l],PHOS [umol/l],TPHS [umol/l],SLCA [umol/l],NTRA [umol/l],NTRI [umol/l],AMON [umol/l],NTOT [umol/l],H2SX [umol/l],PHPH [],ALKY [meq/l],CPHL [ug/l]
26GT,171,B,1983-09-23T22:00,56.12,19.28,,,0,,7.60,,0.12,0.61,6.3,0.2,0.04,0.9,,,,,
26GT,171,B,1983-09-23T22:00,56.12,19.28,,,10,14.62,7.60,6.69,0.00,0.50,6.2,0.2,0.04,0.8,,,,,
26GT,171,B,1983-09-23T22:00,56.12,19.28,,,15,14.66,7.60,6.67,0.15,0.49,6.1,0.2,0.04,0.6,,,,,
26GT,171,B,1983-09-23T22:00,56.12,19.28,,,20,14.74,7.61,6.61,,0.89,15.4,0.6,0.51,0.7,,,,,
26GT,171,B,1983-09-23T22:00,56.12,19.28,,,25,4.30,7.85,6.98,,0.46,6.5,0.2,0.05,0.7,,,,,
26GT,171,B,1983-09-23T22:00,56.12,19.28,,,30,4.32,7.88,6.56,,1.01,17.4,1.7,0.55,0.4,,,,,
26GT,171,B,1983-09-23T22:00,56.12,19.28,,,40,3.71,7.93,7.84,0.47,0.76,15.8,0.1,0.43,1.0,,,,,
26GT,171,B,1983-09-23T22:00,56.12,19.28,,,50,3.77,8.00,7.61,0.41,0.77,14.6,1.4,0.12,0.9,,,,,
26GT,171,B,1983-09-23T22:00,56.12,19.28,,,61,4.03,8.19,6.99,0.64,1.10,16.9,3.7,0.04,0.6,,,,,
26GT,171,B,1983-09-23T22:00,56.12,19.28,,,76,4.04,9.15,4.95,1.55,1.95,28.5,8.7,0.02,0.5,,,,,
26GT,171,B,1983-09-23T22:00,56.12,19.28,,,101,4.52,10.72,2.99,2.08,2.66,37.5,9.7,0.10,0.4,,,,,
26DA,1060,B,1984-03-16T17:00,56.0833,19.2667,112,,1,2.35,7.961,,,,,,,,,,,,
26DA,1060,B,1984-03-16T17:00,56.0833,19.2667,112,,5,2.36,7.971,,,,,,,,,,,,
26DA,1060,B,1984-03-16T17:00,56.0833,19.2667,112,,10,2.35,7.971,,,,,,,,,,,,
26DA,1060,B,1984-03-16T17:00,56.0833,19.2667,112,,15,2.36,7.971,,,,,,,,,,,,
26DA,1060,B,1984-03-16T17:00,56.0833,19.2667,112,,20,2.36,7.971,,,,,,,,,,,,
26DA,1060,B,1984-03-16T17:00,56.0833,19.2667,112,,25,2.36,7.971,,,,,,,,,,,,
26DA,1060,B,1984-03-16T17:00,56.0833,19.2667,112,,30,2.40,7.991,,,,,,,,,,,,
26DA,1060,B,1984-03-16T17:00,56.0833,19.2667,112,,36,2.39,7.991,,,,,,,,,,,,
26DA,1060,B,1984-03-16T17:00,56.0833,19.2667,112,,40,2.38,7.991,,,,,,,,,,,,
26DA,1060,B,1984-03-16T17:00,56.0833,19.2667,112,,45,2.38,7.991,,,,,,,,,,,,
26DA,1060,B,1984-03-16T17:00,56.0833,19.2667,112,,50,2.38,8.001,,,,,,,,,,,,
26DA,1060,B,1984-03-16T17:00,56.0833,19.2667,112,,56,2.42,8.011,,,,,,,,,,,,
26DA,1060,B,1984-03-16T17:00,56.0833,19.2667,112,,62,2.55,8.091,,,,,,,,,,,,
26DA,1060,B,1984-03-16T17:00,56.0833,19.2667,112,,66,3.39,8.311,,,,,,,,,,,,
26DA,1060,B,1984-03-16T17:00,56.0833,19.2667,112,,71,4.08,9.060,,,,,,,,,,,,
26DA,1060,B,1984-03-16T17:00,56.0833,19.2667,112,,76,4.35,9.640,,,,,,,,,,,,
26DA,1060,B,1984-03-16T17:00,56.0833,19.2667,112,,81,4.69,10.080,,,,,,,,,,,,
26DA,1060,B,1984-03-16T17:00,56.0833,19.2667,112,,87,5.17,10.710,,,,,,,,,,,,
26DA,1060,B,1984-03-16T17:00,56.0833,19.2667,112,,91,5.20,10.760,,,,,,,,,,,,
26DA,1060,B,1984-03-16T17:00,56.0833,19.2667,112,,96,5.27,10.860,,,,,,,,,,,,
26DA,1060,B,1984-03-16T17:00,56.0833,19.2667,112,,100,5.28,10.880,,,,,,,,,,,,
26GT,91,B,1988-03-16T00:00,56.13,19.28,119,,1,2.27,7.43,,0.64,2.11,11.6,4.0,1.00,0.4,,,,,0.2
26GT,91,B,1988-03-16T00:00,56.13,19.28,119,,5,2.30,7.52,,0.71,1.07,11.3,4.1,0.10,0.3,,,,,0.4
26GT,91,B,1988-03-16T00:00,56.13,19.28,119,,10,2.29,7.52,8.44,0.65,5.61,11.6,3.8,0.09,0.2,,,,,0.2
26GT,91,B,1988-03-16T00:00,56.13,19.28,119,,15,2.30,7.52,8.50,0.49,1.31,11.4,3.9,0.09,0.3,,,,,
26GT,91,B,1988-03-16T00:00,56.13,19.28,119,,20,2.30,7.51,8.48,0.42,0.94,11.4,3.9,0.09,0.3,,,,,0.2
26GT,91,B,1988-03-16T00:00,56.13,19.28,119,,30,2.32,7.53,8.39,0.54,1.09,11.7,3.5,0.19,0.2,,,,,
26GT,91,B,1988-03-16T00:00,56.13,19.28,119,,40,2.32,7.78,7.66,0.68,0.97,11.5,3.2,0.23,0.6,,,,,
26GT,91,B,1988-03-16T00:00,56.13,19.28,119,,50,2.81,7.78,7.29,0.68,1.11,12.2,4.6,0.03,0.3,,,,,
26GT,91,B,1988-03-16T00:00,56.13,19.28,119,,61,3.21,8.94,3.78,1.87,3.95,39.5,8.3,0.02,0.4,,,,,
26GT,91,B,1988-03-16T00:00,56.13,19.28,119,,71,3.43,9.53,2.61,2.29,2.73,44.1,9.1,0.03,0.2,,,,,
26GT,91,B,1988-03-16T00:00,56.13,19.28,119,,81,3.93,10.11,1.56,2.67,3.58,34.1,9.6,0.03,0.2,,,,,
26GT,91,B,1988-03-16T00:00,56.13,19.28,119,,101,4.24,10.43,1.53,2.70,4.13,43.0,9.0,0.04,0.2,,,,,
26GT,91,B,1988-03-16T00:00,56.13,19.28,119,,116,4.46,10.59,1.22,2.61,3.68,30.6,9.0,0.04,0.4,,,,,
26GT,86,B,1989-03-08T05:00,56.13,19.28,125,,1,3.18,7.43,,0.66,1.08, 9.5, 4.3,0.02, 0.2,,,,,0.4
26GT,86,B,1989-03-08T05:00,56.13,19.28,125,,5,3.19,7.43,,0.61,1.13, 9.5, 4.1,0.01, 0.3,,,,,0.3
26GT,86,B,1989-03-08T05:00,56.13,19.28,125,,10,3.18,7.44,8.68,0.64,1.63, 9.6, 4.2,0.01, 0.2,,,,,0.4
26GT,86,B,1989-03-08T05:00,56.13,19.28,125,,15,3.18,7.43,8.64,0.64,1.29, 9.6, 4.4,0.02, 0.2,,,,,0.4
26GT,86,B,1989-03-08T05:00,56.13,19.28,125,,20,3.18,7.44,8.69,0.64,1.16, 9.1, 4.3,0.02, 0.2,,,,,
26GT,86,B,1989-03-08T05:00,56.13,19.28,125,,25,3.18,7.44,8.66,0.69,1.22, 9.6, 4.3,0.02, 0.2,,,,,
26GT,86,B,1989-03-08T05:00,56.13,19.28,125,,30,3.17,7.44,8.66,0.69,1.84, 9.6, 4.4,0.02, 0.2,,,,,
26GT,86,B,1989-03-08T05:00,56.13,19.28,125,,40,3.18,7.43,8.65,0.64,1.52, 9.5, 4.2,0.01, 0.1,,,,,
26GT,86,B,1989-03-08T05:00,56.13,19.28,125,,50,3.18,7.43,8.54,0.62,1.49, 9.6, 4.4,0.01, 0.2,,,,,
26GT,86,B,1989-03-08T05:00,56.13,19.28,125,,61,3.18,7.43,8.38,,1.55,24.7, 7.3,0.00, 0.2,,,,,
26GT,86,B,1989-03-08T05:00,56.13,19.28,125,,71,3.55,7.85,5.00,0.71,3.01,, 4.5,0.00, 0.2,,,,,
26GT,86,B,1989-03-08T05:00,56.13,19.28,125,,81,3.94,9.14,1.87,2.75,5.40,,10.1,0.00, 0.3,,0.0,,,
26GT,86,B,1989-03-08T05:00,56.13,19.28,125,,101,4.49,10.00,0.80,3.39,4.74,, 9.1,0.00, 0.2,,0.0,,,
26GT,86,B,1989-03-08T05:00,56.13,19.28,125,,117,4.66,10.36,0.31,3.82,4.96,, 6.5,0.04, 0.7,,0.0,,,
26GT,122,B,1990-03-15T17:00,56.13,19.28,116,,1,4.37,7.55,,0.71,,12.7,3.9,0.13,,,,,,0.7
26GT,122,B,1990-03-15T17:00,56.13,19.28,116,,5,4.38,7.55,,0.73,,12.3,3.8,0.14,,,,,,0.7
26GT,122,B,1990-03-15T17:00,56.13,19.28,116,,10,4.37,7.55,8.83,0.80,,12.1,4.5,0.14,,,,,,0.7
26GT,122,B,1990-03-15T17:00,56.13,19.28,116,,15,4.37,7.55,8.80,0.71,,12.2,3.8,0.13,,,,,,0.6
26GT,122,B,1990-03-15T17:00,56.13,19.28,116,,20,4.37,7.55,9.09,0.73,,12.3,3.8,0.14,,,,,,
26GT,122,B,1990-03-15T17:00,56.13,19.28,116,,25,4.38,7.55,8.77,0.80,,12.3,3.9,0.13,,,,,,
26GT,122,B,1990-03-15T17:00,56.13,19.28,116,,30,4.38,7.55,8.80,0.76,,12.2,3.9,0.13,,,,,,
26GT,122,B,1990-03-15T17:00,56.13,19.28,116,,40,4.40,7.56,8.74,0.73,,11.8,3.8,0.13,,,,,,
26GT,122,B,1990-03-15T17:00,56.13,19.28,116,,50,4.42,7.56,8.75,0.69,,11.2,3.7,0.12,,,,,,
26GT,122,B,1990-03-15T17:00,56.13,19.28,116,,61,4.50,7.58,8.79,0.66,,,3.7,0.11,,,,,,
26GT,122,B,1990-03-15T17:00,56.13,19.28,116,,71,4.55,7.58,8.70,0.72,,,4.0,0.10,,,,,,
26GT,122,B,1990-03-15T17:00,56.13,19.28,116,,81,4.56,7.58,8.69,0.66,,,3.7,0.00,1.3,,,,,
26GT,122,B,1990-03-15T17:00,56.13,19.28,116,,101,4.83,9.33,1.27,3.00,,48.5,7.6,0.04,1.8,,0.0,,,
26GT,122,B,1990-03-15T17:00,56.13,19.28,116,,115,5.11,9.78,0.13,3.72,,64.1,7.1,0.24,4.2,,7.1,,,
07PE,133,B,1971-03-30T08:15,56.098,19.265,113,,1,1.84,7.68,9.03,0.13,,,2.7,0.19,0.4,,,,,
07PE,133,B,1971-03-30T08:15,56.098,19.265,113,,10,1.83,7.68,9.07,0.55,,,2.7,0.21,0.3,,,,,
07PE,133,B,1971-03-30T08:15,56.098,19.265,113,,20,1.83,7.68,9.02,0.55,,,2.8,0.21,0.4,,,,,
07PE,133,B,1971-03-30T08:15,56.098,19.265,113,,30,1.83,7.68,9.05,0.55,,,2.8,0.21,0.5,,,,,
07PE,133,B,1971-03-30T08:15,56.098,19.265,113,,40,1.82,7.68,8.98,0.55,,,2.7,0.21,0.3,,,,,
07PE,133,B,1971-03-30T08:15,56.098,19.265,113,,50,1.86,7.68,9.05,0.55,,,2.5,0.36,0.4,,,,,
07PE,133,B,1971-03-30T08:15,56.098,19.265,113,,61,3.08,9.34,2.97,1.64,,,4.2,0.02,0.4,,,,,
07PE,133,B,1971-03-30T08:15,56.098,19.265,113,,71,4.31,10.41,0.89,2.20,,,4.5,0.01,0.3,,,,,
07PE,133,B,1971-03-30T08:15,56.098,19.265,113,,81,4.92,10.89,1.20,2.20,,,5.5,0.02,0.3,,,,,
07PE,133,B,1971-03-30T08:15,56.098,19.265,113,,91,5.16,11.06,1.38,2.20,,,6.1,0.03,0.4,,,,,
07PE,133,B,1971-03-30T08:15,56.098,19.265,113,,101,5.49,11.35,1.64,2.19,,,6.7,0.04,0.2,,,,,
07PE,133,B,1971-03-30T08:15,56.098,19.265,113,,111,5.52,11.42,1.50,2.08,,,6.8,0.01,0.4,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,0,,,,,,,,,,,,,,4.1
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,1,1.85,7.67,9.98,0.42,,,3.7,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,2,1.84,7.67,10.07,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,3,1.84,7.67,9.95,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,4,1.84,7.67,10.02,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,5,1.84,7.67,9.99,0.41,,,3.7,,,,,,,4.3
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,6,1.84,7.67,10.00,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,7,1.84,7.67,10.02,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,8,1.84,7.67,9.99,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,9,1.83,7.67,10.02,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,10,1.83,7.67,9.93,0.44,,,3.5,,,,,,,4.6
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,11,1.83,7.67,9.90,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,12,1.83,7.67,9.97,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,13,1.83,7.67,9.95,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,14,1.83,7.67,10.00,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,15,1.83,7.67,10.03,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,16,1.83,7.67,10.01,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,17,1.83,7.67,9.96,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,19,1.83,7.66,10.00,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,20,1.83,7.67,10.01,0.47,,,4.2,,,,,,,4.9
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,21,1.83,7.67,10.02,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,22,1.83,7.67,10.03,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,23,1.83,7.67,10.04,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,24,1.83,7.67,10.02,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,25,1.83,7.67,10.03,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,26,1.82,7.67,10.03,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,27,1.82,7.67,10.00,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,28,1.82,7.67,10.03,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,29,1.82,7.66,10.05,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,30,1.82,7.67,9.93,0.49,,,4.2,,,,,,,4.9
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,31,1.82,7.67,10.03,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,32,1.81,7.67,10.03,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,33,1.81,7.67,9.94,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,34,1.81,7.67,9.95,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,35,1.81,7.67,10.01,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,36,1.81,7.67,10.03,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,37,1.82,7.67,10.01,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,38,1.82,7.67,10.02,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,39,1.82,7.66,9.96,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,40,1.82,7.67,9.99,0.49,,,4.2,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,41,1.82,7.67,10.01,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,42,1.83,7.67,9.96,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,43,1.83,7.67,9.99,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,44,1.83,7.67,9.99,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,45,1.79,7.67,10.02,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,46,1.77,7.67,10.00,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,47,1.71,7.67,9.99,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,48,1.68,7.68,9.95,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,49,1.67,7.67,9.94,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,50,1.68,7.68,9.93,0.50,,,4.1,,,,,,,3.6
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,51,1.64,7.68,9.92,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,52,1.59,7.68,9.90,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,53,1.56,7.68,9.91,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,54,1.52,7.69,9.86,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,57,1.36,7.70,9.77,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,58,1.33,7.71,9.76,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,59,1.40,7.75,9.65,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,60,1.50,7.81,9.52,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,61,1.56,7.83,9.38,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,62,1.63,7.89,9.30,,,,,,,,,,,
07PE,153,B,1986-04-25T16:35,56.0800,19.3250,,,63,1.81,7.98,9.02,,,,,,,,,,,
