Average climatic values ​​and annual totals
Year	T	TM	Tm	PP	V	RA	SN	TS	FG	TN	GR
2000	9.4	12.4	6.6	-	13.9	201	36	16	26	0	14
2001	8.4	11.3	5.6	-	14.9	204	58	16	33	0	14
2002	-	-	-	-	-	186	50	13	27	0	16
2003	8.5	11.6	5.5	536.61	14.3	166	44	12	34	0	10
2004	8.4	11.4	5.5	704.30	14.2	213	55	17	20	0	17
2005	-	-	-	-	-	-	-	-	-	-	-
2006	9.1	12.2	6.4	560.87	13.0	138	36	29	28	0	3
2007	9.5	12.5	6.8	673.57	14.2	176	22	22	10	0	8
2008	9.4	12.3	6.7	597.41	14.1	179	25	16	16	0	7
2009	8.6	11.6	5.9	682.26	12.8	171	38	13	21	0	6
2010	7.5	10.5	4.7	780.01	13.1	133	66	19	25	0	2
